"Timestamp","ඔබේ ස්ත්‍රී පුරුෂ භාවය කුමක්ද? what is your gender? ","ඔබේ වර්තමාන වයස් කාණ්ඩය ?  your present age group? ","ඔබේ වත්මන් ජීවත්වන දිස්ත්‍රික්කය කුමක්ද? what is your current living district?","ඔබේ වර්තමාන රැකියාව කුමක්ද? What is your present Occupation? ","ඔබේ අධ්‍යාපන මට්ටම කෙසේද? How about your education level?","ඔබේ විවාහක තත්වය කුමක්ද? What is your marital status?","ඔබේ ජනවාර්ගිකත්වය කුමක්ද? Please specify your ethnicity","ඔබට ජංගම දුරකථනයක් තිබේද? .Do you own a cell phone?","ඔබ සතුව ඇත්තේ කුමන ආකාරයේ ජංගම දුරකථනයක්ද? what type of mobile phone do you have?","ඔබට බැංකු ගිණුමක් තිබේද? Do you have a bank account?","ඔබ කීවේ ඔබට බැංකු ගිණුමක් නොමැති බවයි. ඔබට බැංකු ගිණුමක් නොමැති වීමට හේතුව කරුණාකර ඔබට පැවසිය හැකිද?   You said you do not have a bank account. Can you please tell the reason you do not have a bank account?"," ඔබ සතුව ඇත්තේ කුමන ආකාරයේ බැංකු ගිණුමක්ද? what type of a bank account do you have?","ඔබ කොපමණ වාරයක් ගනුදෙනු කරන්නේද?How often do you make transaction?","ඔබ ගනුදෙනු කරන බැංකු ශාඛාව කොතරම් දුරද? How far is the bank branch where you do business? ","ජංගම බැංකු සේවා ගැන ඔබ අසා තිබේද? Have you heard about Mobile banking services?","පහත දැක්වෙන උපාංග භාවිතා කිරීමේ හැකියාව ඔබ තක්සේරු කරන්නේ කෙසේද how would you rate your ability to use the following devices? [ජංගම දුරකථන Mobile Phone]","පහත දැක්වෙන උපාංග භාවිතා කිරීමේ හැකියාව ඔබ තක්සේරු කරන්නේ කෙසේද how would you rate your ability to use the following devices? [ස්වයංක්‍රීය ටෙලර් යන්ත්‍රය ATM machine]","පහත දැක්වෙන උපාංග භාවිතා කිරීමේ හැකියාව ඔබ තක්සේරු කරන්නේ කෙසේද how would you rate your ability to use the following devices? [අන්තර්ජාල Internet]","පහත දැක්වෙන උපාංග භාවිතා කිරීමේ හැකියාව ඔබ තක්සේරු කරන්නේ කෙසේද how would you rate your ability to use the following devices? [ඩෙබිට් කාඩ්පත Debit card]","පහත දැක්වෙන උපාංග භාවිතා කිරීමේ හැකියාව ඔබ තක්සේරු කරන්නේ කෙසේද how would you rate your ability to use the following devices? [පෙරගෙවුම් කාඩ්පත Prepaid card]"," ඔබ බැංකුකරණය සඳහා ජංගම දුරකථනය භාවිතා නොකරන්නේ ඇයි? ) Why don't you use a mobile phone for banking?  [මගේ දුරකථනය එයට සහාය නොදක්වයි My phone does not support it]"," ඔබ බැංකුකරණය සඳහා ජංගම දුරකථනය භාවිතා නොකරන්නේ ඇයි? ) Why don't you use a mobile phone for banking?  [ගනුදෙනු කිරීමට මට ආරක්ෂාවක් දැනෙන්නේ නැත I don't feel safe to do transactions]"," ඔබ බැංකුකරණය සඳහා ජංගම දුරකථනය භාවිතා නොකරන්නේ ඇයි? ) Why don't you use a mobile phone for banking?  [ශාඛාවට යාම වඩාත් පහසුය Going to the branch is more convenient]"," ඔබ බැංකුකරණය සඳහා ජංගම දුරකථනය භාවිතා නොකරන්නේ ඇයි? ) Why don't you use a mobile phone for banking?  [මට යෙදුම තේරෙන්නේ නැත I don't understand the app]"," ඔබ බැංකුකරණය සඳහා ජංගම දුරකථනය භාවිතා නොකරන්නේ ඇයි? ) Why don't you use a mobile phone for banking?  [යෙදුම මන්දගාමී වේ App is slow]"," ඔබ බැංකුකරණය සඳහා ජංගම දුරකථනය භාවිතා නොකරන්නේ ඇයි? ) Why don't you use a mobile phone for banking?  [ජංගම බැංකු පහසුකම් ලබා ගැනීම සඳහා බොහෝ අයදුම්පත් පිරවීම කරදරයකි  it is  trouble  to fill many applications to get a mobile banking facility]","ඉහත කරුණු හැරුණු විට, ජංගම බැංකු යෙදුම් භාවිතා නොකිරීමට හේතුව / හේතු මොනවාද? Other than the above points, what is/are the reason/reasons for not using mobile banking apps?"
"2020/11/03 5:56:46 PM GMT+5:30","පිරිමි Male","අවුරුදු 45-60","කොළඹ Colombo","පෞද්ගලික අංශයේ private sector","ද්විතියික (සාමාන්‍ය  පෙළ දක්වා) O/L","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","සාමාන්‍ය ජංගම දුරකථනය Feature phone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ණය ගිණුම loan account","සතිපතා Weekly","10 කි.මී.ට වඩා   More than 10 km","ඔව් yes","අඩු low","සාමාන්‍යය average","ඉතා අඩුයි Very low","ඉතා අඩුයි Very low","ඉතා අඩුයි Very low","තදින්ම එකඟ වේ Strongly Agree","උදාසීන Neutral","එකඟ නොවේ Disagree","උදාසීන Neutral","උදාසීන Neutral","උදාසීන Neutral",""
"2020/11/03 5:57:28 PM GMT+5:30","ගැහැණු Female","අවුරුදු 45-60","කොළඹ Colombo","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","ශාස්ත්‍රපති / ආචාර්ය උපාධිය Masters/Phd","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","අඩු low","ඉතා අඩුයි Very low","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","Only once a month transactions doing"
"2020/11/03 5:59:20 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගම්පහ Gampaha","පෞද්ගලික අංශයේ private sector","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","සතිපතා Weekly","5 කි.මී.සිට 10කි.මී. දක්වා   5 to 10 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","අඩු low","එකඟ වේ Agree","තදින්ම එකඟ වේ Strongly Agree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","උදාසීන Neutral","උදාසීන Neutral","Dont feel as safe"
"2020/11/03 6:06:11 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගම්පහ Gampaha","ශිෂ්ය student","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","සතිපතා Weekly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","අඩු low","අඩු low","ඉතා අඩුයි Very low","සාමාන්‍යය average","ඉතා අඩුයි Very low","තදින්ම එකඟ වේ Strongly Agree","එකඟ වේ Agree","එකඟ වේ Agree","එකඟ වේ Agree","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1",""
"2020/11/03 6:18:49 PM GMT+5:30","පිරිමි Male","අවුරුදු 25-45","කොළඹ Colombo","පෞද්ගලික අංශයේ private sector","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","උදාසීන Neutral","එකඟ වේ Agree","තදින්ම එකඟ වේ Strongly Agree","තදින්ම එකඟ වේ Strongly Agree","තදින්ම එකඟ වේ Strongly Agree",""
"2020/11/03 6:54:34 PM GMT+5:30","පිරිමි Male","අවුරුදු 25-45","කොළඹ Colombo","පෞද්ගලික අංශයේ private sector","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","සතිපතා Weekly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා අඩුයි Very low","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1",""
"2020/11/03 7:13:06 PM GMT+5:30","පිරිමි Male","අවුරුදු 25-45","ගාල්ල Galle","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","සතිපතා Weekly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","සාමාන්‍යය average","ඉහළ high","ඉතා අඩුයි Very low","ඉතා අඩුයි Very low","ඉතා අඩුයි Very low","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ නොවේ Disagree","උදාසීන Neutral","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree",""
"2020/11/03 7:17:19 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගාල්ල Galle","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","සාමාන්‍යය average","ඉතා අඩුයි Very low","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","උදාසීන Neutral","එකඟ වේ Agree","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ නොවේ Disagree",""
"2020/11/03 7:29:03 PM GMT+5:30","ගැහැණු Female","අවුරුදු 16-25","මාතර  Matara","ශිෂ්ය student","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","5 කි.මී.සිට 10කි.මී. දක්වා   5 to 10 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","එකඟ නොවේ Disagree","උදාසීන Neutral","එකඟ නොවේ Disagree","උදාසීන Neutral","උදාසීන Neutral","එකඟ වේ Agree","Some apps are way too hard to use and not user friendly"
"2020/11/03 7:52:40 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","කළුතර Kalutara","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","5 කි.මී.සිට 10කි.මී. දක්වා   5 to 10 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","උදාසීන Neutral","එකඟ වේ Agree","එකඟ වේ Agree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ වේ Strongly Agree","එකඟ වේ Agree","Lack of money"
"2020/11/03 7:54:07 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","මාතර  Matara","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","ඉඳහිට (මසකට වරක් අඩු) Occasionally (less than once a month)","5 කි.මී.සිට 10කි.මී. දක්වා   5 to 10 km","ඔව් yes","ඉතා ඉහළයි very high","සාමාන්‍යය average","ඉහළ high","සාමාන්‍යය average","අඩු low","උදාසීන Neutral","එකඟ වේ Agree","එකඟ වේ Agree","උදාසීන Neutral","උදාසීන Neutral","එකඟ වේ Agree",""
"2020/11/03 8:35:56 PM GMT+5:30","පිරිමි Male","අවුරුදු 45-60","ගම්පහ Gampaha","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උසස් පෙළ( A/L)","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","සතිපතා Weekly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","ඉතා අඩුයි Very low","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1",""
"2020/11/03 9:09:52 PM GMT+5:30","ගැහැණු Female","අවුරුදු 45-60","කොළඹ Colombo","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","ශාස්ත්‍රපති / ආචාර්ය උපාධිය Masters/Phd","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","සතිපතා Weekly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","සාමාන්‍යය average","ඉහළ high","ඉහළ high","ඉහළ high","ඉතා අඩුයි Very low","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ වේ Agree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree",""
"2020/11/03 9:23:11 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","කොළඹ Colombo","පෞද්ගලික අංශයේ private sector","උසස් පෙළ( A/L)","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","අඩු low","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ වේ Agree","එකඟ නොවේ Disagree","උදාසීන Neutral","එකඟ නොවේ Disagree",""
"2020/11/03 9:26:41 PM GMT+5:30","පිරිමි Male","60 ට වැඩි (above 60 )","කළුතර Kalutara","Retired","උසස් පෙළ( A/L)","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account;ණය ගිණුම loan account","සතිපතා Weekly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","ඉතා අඩුයි Very low","ඉතා අඩුයි Very low","එකඟ නොවේ Disagree","එකඟ වේ Agree","තදින්ම එකඟ වේ Strongly Agree","උදාසීන Neutral","උදාසීන Neutral","තදින්ම එකඟ වේ Strongly Agree","I don't need it"
"2020/11/03 9:26:48 PM GMT+5:30","පිරිමි Male","60 ට වැඩි (above 60 )","කළුතර Kalutara","Retired","උසස් පෙළ( A/L)","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account;ණය ගිණුම loan account","සතිපතා Weekly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","ඉතා අඩුයි Very low","ඉතා අඩුයි Very low","එකඟ නොවේ Disagree","එකඟ වේ Agree","තදින්ම එකඟ වේ Strongly Agree","උදාසීන Neutral","උදාසීන Neutral","තදින්ම එකඟ වේ Strongly Agree","I don't need it"
"2020/11/03 9:31:14 PM GMT+5:30","පිරිමි Male","අවුරුදු 16-25","කොළඹ Colombo","රැකියා විරහිත unemployed","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","සතිපතා Weekly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","අඩු low","අඩු low","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ වේ Agree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ වේ Agree","තදින්ම එකඟ වේ Strongly Agree","I did not get Chanse to create mobile banking facility"
"2020/11/03 9:33:36 PM GMT+5:30","පිරිමි Male","අවුරුදු 45-60","ගාල්ල Galle","Retired","ද්විතියික (සාමාන්‍ය  පෙළ දක්වා) O/L","දික්කසාද වූ / වැන්දඹු වෙන්වූ Divorced / Widowed Separated","සිංහල Sinhalees","ඔව්  Yes","සාමාන්‍ය ජංගම දුරකථනය Feature phone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","ඉඳහිට (මසකට වරක් අඩු) Occasionally (less than once a month)","5 කි.මී.සිට 10කි.මී. දක්වා   5 to 10 km","නැත no","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","එකඟ වේ Agree","එකඟ වේ Agree","එකඟ වේ Agree","එකඟ වේ Agree","එකඟ වේ Agree","එකඟ වේ Agree","I don't know about mobile banking"
"2020/11/03 9:47:11 PM GMT+5:30","ගැහැණු Female","අවුරුදු 45-60","කළුතර Kalutara","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","සතිපතා Weekly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා අඩුයි Very low","උදාසීන Neutral","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ වේ Agree","එකඟ නොවේ Disagree",""
"2020/11/03 9:59:30 PM GMT+5:30","ගැහැණු Female","අවුරුදු 16-25","හම්බන්තොට Hambantota","ශිෂ්ය student","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","අඩු low","එකඟ නොවේ Disagree","උදාසීන Neutral","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","Pahasuwa nisa salli ithuru nokara wiyadam kirima"
"2020/11/03 10:06:17 PM GMT+5:30","පිරිමි Male","අවුරුදු 45-60","කළුතර Kalutara","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","සතිපතා Weekly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","සාමාන්‍යය average","සාමාන්‍යය average","උදාසීන Neutral","එකඟ නොවේ Disagree","උදාසීන Neutral","උදාසීන Neutral","උදාසීන Neutral","උදාසීන Neutral",""
"2020/11/03 10:08:12 PM GMT+5:30","පිරිමි Male","අවුරුදු 25-45","ගම්පහ Gampaha","පෞද්ගලික අංශයේ private sector","ශාස්ත්‍රපති / ආචාර්ය උපාධිය Masters/Phd","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","සතිපතා Weekly","කිලෝමීටරයකට වඩා අඩුය    Less than one km","ඔව් yes","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","Complications.not user friendly. "
"2020/11/03 10:13:18 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගම්පහ Gampaha","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ස්ථාවර ගිණුම fixed account","මාසිකව Monthly","5 කි.මී.සිට 10කි.මී. දක්වා   5 to 10 km","ඔව් yes","ඉහළ high","ඉහළ high","ඉහළ high","ඉහළ high","ඉතා අඩුයි Very low","එකඟ නොවේ Disagree","තදින්ම එකඟ වේ Strongly Agree","එකඟ වේ Agree","එකඟ නොවේ Disagree","උදාසීන Neutral","එකඟ නොවේ Disagree",""
"2020/11/03 10:20:36 PM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගම්පහ Gampaha","පෞද්ගලික අංශයේ private sector","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account;ණය ගිණුම loan account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉතා අඩුයි Very low","ඉහළ high","සාමාන්‍යය average","සාමාන්‍යය average","ඉතා අඩුයි Very low","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ වේ Strongly Agree","එකඟ වේ Agree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","Feel it is not safe doing transactions through  mobile phones"
"2020/11/03 10:32:34 PM GMT+5:30","පිරිමි Male","අවුරුදු 25-45","කුරුණෑගල Kurunegala","රාජ්‍ය / රාජ්‍ය සේවය Government /Public Service","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","ඉඳහිට (මසකට වරක් අඩු) Occasionally (less than once a month)","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉතා ඉහළයි very high","ඉහළ high","ඉහළ high","උදාසීන Neutral","උදාසීන Neutral","උදාසීන Neutral","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ වේ Agree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","ATM Cards"
"2020/11/04 8:25:04 AM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගම්පහ Gampaha","පෞද්ගලික අංශයේ private sector","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","විවාහක Married","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","සාමාන්‍යය average","සාමාන්‍යය average","සාමාන්‍යය average","අඩු low","අඩු low","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","එකඟ නොවේ Disagree","Miner knowledge about mobile banking"
"2020/11/04 8:51:19 AM GMT+5:30","ගැහැණු Female","අවුරුදු 25-45","ගම්පහ Gampaha","පෞද්ගලික අංශයේ private sector","උපාධිය / ඩිප්ලෝමාව Degree/Deploma","තනි Single","සිංහල Sinhalees","ඔව්  Yes","ස්මාර්ට් ජංගම දුරකථනය Smartphone","ඔව්  yes","","ඉතිරි කිරීමේ ගිණුම Savings account","මාසිකව Monthly","1 කි.මී.සිට 5 කි.මී.දක්වා   1 to 5 km","ඔව් yes","අඩු low","ඉතා ඉහළයි very high","සාමාන්‍යය average","ඉහළ high","ඉතා අඩුයි Very low","උදාසීන Neutral","එකඟ නොවේ Disagree","තදින්ම එකඟ නොවේ Strongly DisagreeColumn 1","එකඟ වේ Agree","තදින්ම එකඟ වේ Strongly Agree","උදාසීන Neutral",""
